Chapter,Question,Answer
Donor Nephrectomy,How is the patient and the surgical bed positioned for left donor nephrectomy?,The patient is placed in a semilateral position (45-60 degrees): the surgical bed is adjusted (flexed with the left side up) to open the left costophrenic angle.
Donor Nephrectomy,How are the trocars positioned during a left donor nephrectomy?,"An 8-mm trocar for a robotic arm is placed close to the left costal margin, at the midclavicular line (R2). The camera trocar (8 mm) is placed about 10 cm lower and more medial than the previous one. Finally, the second robotic arm trocar (R1) (8 mm) is placed about 10 cm lower from the camera port along the midclavicular line. The 12-mm assisting trocar should be placed ideally lower in the left iliac fossa. Using the anterosuperior iliac spine as a landmark, the assistant port site is placed 3-4 cm higher and medially."
Donor Nephrectomy,"Describe how the ureter receives its blood supply, in the nephrectomy","It receives its blood supply from multiple arterial branches (aorta, renal artery, iliac). The arterial supply will course longitudinally along the ureter, creating a plexus of anastomosing vessels."
Donor Nephrectomy,What are the potential complications of lumbar vein injury during donor nephrectomy?,"If injured, it might retract into the retroperitoneal fat, with bleeding that is difficult to control and gas embolism."
Donor Nephrectomy,What anatomical landmarks can we use to identify the right renal artery?,"The renal artery is usually located posteriorly in relation to the right renal vein, and it runs behind the inferior vena cava."
Kidney Transplant,Mention three absolute contraindications in kidney transplantation?,"Reversible kidney disease, severe cirrhosis biopsy-proven, patient noncompliant with medications, active neoplasm, severe lung or cardiovascular disease, active substance abuse or uncontrolled psychiatric disorders, active infection, and life expectancy less than 1 year."
Kidney Transplant,What is the golden triangle in kidney transplantation?,"It is the space between the ureter, the kidney, and the renal artery."
Kidney Transplant,Which ligament is incised in females to expose the proximal portion of the external iliac artery during kidney transplant?,The suspensory ligament of the ovary is incised at the level of the proximal portion of the external iliac artery.
Kidney Transplant,During the OR setup for kidney transplant how is patient positioned?,"The patient is positioned supine, with parted and flexed legs. Upper extremities are adducted and tagged to the body. Shoulder block and tape are used to avoid the sliding of the patient during the operation."
Kidney Transplant,What is the maneuver to easily identify the bladder during kidney transplant?,Placement of a 3-way Foley catheter and filling the bladder with 100-150 cc of methylene blue.
Kidney Transplant,What are the main surgical challenges of kidney transplantation in obese patients?,"Access to the external iliac vessels is more difficult in morbidly obese patients, requiring larger and more extensive incisions, increasing the risk of wound infection."
Kidney Transplant,What are the recommended instruments for kidney transplantation?,"30 degrees and 0 degrees scopes, Cadiere forceps, fenestrated bipolar forceps, permanent monopolar cautery hook, large clip applier (Hem-o-lok®), large needle driver, black diamond micro forceps, Potts scissors, round-tip scissors, robotic bulldog vascular clamps."
Kidney Transplant,How is the external iliac artery dissected and mobilized up to the inguinal ligament during kidney transplant?,"Dissection starts from the origin of the artery to the inguinal ligament using hook cautery and bipolar forceps. The artery is mobilized, avoiding direct grasping, and a vessel loop is used for retraction. Hyperplastic lymph nodes may be removed to improve exposure."
Kidney Transplant,What methods are used intraoperatively to assess perfusion of the kidney graft?,Intraoperative Doppler is used to assess flow and circulation characteristics. Indocyanine green (ICG) fluorescence angiography confirms complete and homogeneous perfusion of the graft.
Pancreas Transplant,What proportion of pancreas transplants are performed as pancreas transplant alone (PTA)?,Only 10% are pancreas transplant alone.
Pancreas Transplant,What is the only exclusion criterion to perform a robotic pancreas transplantation?,"Severe atherosclerosis of the recipient iliac vessels, but also a hostile abdomen is a relative contraindication."
Pancreas Transplant,What type of pancreas transplant is commonly performed with a kidney transplant?,Simultaneous pancreas-kidney (SPK) transplantation.
Pancreas Transplant,For which patients is pancreas transplant alone (PTA) typically indicated?,Patients with brittle type 1 diabetes and stable renal function.
Pancreas Transplant,What is the impact of the growing incidence of obesity in potential recipients for pancreas transplantation?,"Due to the increased rate of surgical complications, particularly wound infections."
Pancreas Transplant,What is the main rationale for pancreas transplantation?,"To reduce surgical trauma, decrease wound complications, and allow earlier recovery."
Pancreas Transplant,Which donor artery is anastomosed to the proximal splenic artery stump during the backbench preparation of the pancreas transplantation?,The donor's internal iliac artery.
Pancreas Transplant,What is the purpose of marking inflow and outflow vessels with a marking pen during the backbench preparation of the pancreas transplantation?,To facilitate orientation before vascular anastomosis.
Pancreas Transplant,How should the patient be positioned during pancreas transplantation?,"Supine with parted and flexed legs on stirrups, in 30 degrees Trendelenburg with a 20 degrees left tilt."
Pancreas Transplant,What are the specific advantages of positioning the pancreas graft in the left iliac fossa during pancreas transplantation?,"Placing the graft in the left iliac fossa achieves better orientation of the duodenum for the side-to-side duodenoenterostomy, provides a more favorable position for the vascular anastomosis, and reduces the risk of kinking."
Pancreas Transplant,What is the first step of the operation after pancreas transplant setup?,Mobilization of the left colon.
Pancreas Transplant,What is done after the graft is revascularized during exocrine drainage in pancreas transplantation?,By a side-to-side duodenoenterostomy using a jejunal loop.
Pancreas Transplant,What suture materials are used for venous and arterial anastomoses in pancreas transplantation?,Gore-Tex 5-0 for venous and Gore-Tex 6-0 for arterial anastomoses.
Living Donor Hepatectomy,"Who performed the first robotic right lobe donor hepatectomy, and when?",Giulianotti et al. performed the first robotic right lobe donor hepatectomy in 2011.
Living Donor Hepatectomy,What is the patient position during robotic donor hepatectomy?,The patient is placed supine in the French position with 30-40 degrees reverse Trendelenburg and the right shoulder slightly elevated (15-20 degrees).
Living Donor Hepatectomy,What is the advantage of the robotic approach compared to laparoscopy in living donor hepatectomy?,The robotic approach retains the benefits of minimally invasive surgery while overcoming the limitations of laparoscopy in narrow operative fields.
Living Donor Hepatectomy,"What incision is preferred for graft extraction in living donor hepatectomy, and what alternative is used in large abdomens?","A Pfannenstiel incision is typically used, though a hypogastric midline incision may be chosen for large abdomens."
Living Donor Hepatectomy,What helps to minimize parenchymal injury during traction in living donor hepatectomy?,Using a sponge with the ProGrasp in R3 during traction helps minimize parenchymal injury.
Living Donor Hepatectomy,Which ligaments are transected at the start of liver mobilization in living donor hepatectomy?,The falciform and right coronary ligaments.
Living Donor Hepatectomy,How is the bile duct anatomy identified before transecting the right hilar plate in living donor hepatectomy?,By using indocyanine green (ICG) fluorescence imaging in real-time with the Firefly mode.
Living Donor Hepatectomy,What is a major precaution when dissecting the right portal vein during a living donor hepatectomy?,To avoid encircling the main portal vein to prevent compromising liver perfusion.
Living Donor Hepatectomy,Which vessels are clamped to help visualize Cantlie’s line in living donor hepatectomy?,The right hepatic artery and right portal vein are clamped using bulldog clamps.
Living Donor Hepatectomy,What solution is used for graft perfusion on the back table during a living donor hepatectomy?,"Histidine tryptophan ketoglutarate (HTK, Custodiol)."
Living Donor Hepatectomy,What is the average time frame for liver parenchyma transection in living donor hepatectomy?,Approximately 50 to 60 minutes.
Living Donor Hepatectomy,What adjustment helps expose the transection line during liver parenchyma transection in living donor hepatectomy?,Adjusting the tension on the Prolene (TM) 2-0 traction sutures placed along the demarcation line.
Living Donor Hepatectomy,How is the donor bile duct stump closed during living donor hepatectomy?,With interrupted monofilament PDS (TM) 6-0 stitches.
Living Donor Hepatectomy,Why are the falciform ligaments reconstructed during living donor hepatectomy?,It prevents torsion of the left hepatic vein and potential outflow obstruction.
Living Donor Hepatectomy,What should be done if a dominant short hepatic vein drains segments 5 and 6 during a living donor hepatectomy?,It may require back-table reconstruction after cold perfusion.
Living Donor Hepatectomy,What is the role of the Foley catheter in the hanging maneuver during a living donor hepatectomy??,It is passed between the right and middle hepatic veins to assist with liver traction and orientation during transection.
Living Donor Hepatectomy,In what fashion is the gallbladder dissected during living donor hepatectomy?,"In an antegrade fashion with upward pressure from the ProGrasp (TM) on segment 4, identifying and clipping the cystic duct and artery."
Living Donor Hepatectomy,What part of the liver is transected to complete parenchymal transection in living donor hepatectomy?,"The right-sided caudate lobe, above the Foley catheter."
Living Donor Hepatectomy,What is the purpose of injecting ICG after clamping the right hepatic artery and right portal vein in living donor hepatectomy?,To identify Cantlie's line and visualize the biliary anatomy for safe transection.
Living Donor Hepatectomy,What is the technique that uses Harmonic shears and is similar to CUSA™ during living donor hepatectomy?,"The 'open jaw' technique, which allows dissection around vessels using the active blade only."
Living Donor Hepatectomy,"Why is a second assistant port beneficial, particularly when bleeding is encountered during living donor hepatectomy?","It allows the assistant to provide retraction and suction simultaneously, especially helpful during bleeding or challenging exposures."
Gasless Transaxillary Thyroidectomy,What are the indications for modified radical neck dissection (mRND) in gasless transaxillary thyroidectomy?,"Well-differentiated thyroid carcinoma without evidence of capsular invasion, a lesion measuring less than 4 cm, follicular neoplasms smaller than 5 cm in diameter."
Gasless Transaxillary Thyroidectomy,What are the initial contraindications for performing gasless transaxillary thyroidectomy?,"Prior history of head and neck surgery, radiation therapy, or radioactive iodine treatment, poorly controlled thyrotoxicosis, a markedly elevated body mass index (BMI)."
Gasless Transaxillary Thyroidectomy,"What technique and robotic instrument are used to manage superficial cancer invasion of the RLN, trachea, or neck vessels in gasless transaxillary thyroidectomy?","The technique is called the 'shaving technique,' and the instrument used is robotic scissors."
Gasless Transaxillary Thyroidectomy,Why is the arm homolateral to the lesion raised during patient positioning in gasless transaxillary thyroidectomy?,"The arm on the same side as the lesion is elevated to reduce the distance between the axilla and the anterior neck as much as possible. This positioning causes the clavicle to rotate, lowering its medial end and allowing for improved access to the thyroid gland."
Gasless Transaxillary Thyroidectomy,"How is patient positioning modified in gasless transaxillary thyroidectomy when shoulder elevation is limited, such as in obese patients?","In patients with difficulty raising the shoulder, such as those with obesity, the shoulder should be elevated to expose the axilla on the side of the lesion. The elbow is then flexed at 90 degrees, and the arm is padded and secured over the forehead. This modified position helps prevent transient brachial plexus traction injuries."
Gasless Transaxillary Thyroidectomy,Which anatomical lines are drawn to define the dissection field in gasless transaxillary thyroidectomy?,"The following anatomical lines should be drawn to outline the surgical dissection field: an oblique line from the thyroid cartilage to the clavicle, passing over the upper pole of the thyroid, along with a parallel line from the clavicle to the axillary fold. A parallel line from the sternal notch to the axillary fold and a vertical incision line on the axilla, approximately 5-6 cm in length, along the lateral border of the pectoralis major muscle."
Gasless Transaxillary Thyroidectomy,How is the working space created during the initial phase of gasless transaxillary thyroidectomy?,"In the initial phase of robotic thyroidectomy, the working space is created using electrocautery to dissect the anterior surface of the pectoralis major muscle from the axilla to the clavicle and sternal notch. A subplatysmal skin flap is then created, extending beyond the clavicle to the bifurcation of the sternocleidomastoid (SCM) muscle, exposing the posterior neck area for optimal access during the robotic procedure."
Gasless Transaxillary Thyroidectomy,What are the dissection steps after exposing the posterior neck in gasless transaxillary thyroidectomy?,"After exposing the posterior neck, the next steps in the robotic thyroidectomy procedure involve precise dissection. The avascular space between the two heads of the sternocleidomastoid (SCM) muscle is identified and carefully dissected. Next, the omohyoid muscle is mobilized to create additional space. The carotid sheath and internal jugular vein (IJV) are then separated from the strap muscles to enhance exposure of the thyroid area. Finally, the thyroid gland is fully exposed, completing the preparation for the robotic thyroidectomy."
Gasless Transaxillary Thyroidectomy,How is the patient cart positioned when using the da Vinci Xi system for gasless transaxillary thyroidectomy?,"The patient cart is placed contralateral to the incision, with its center column aligned with the retractor. The operating table is positioned at a slight angle to the robotic column to ensure proper alignment between the robotic camera arm and the surgical instruments."
Gasless Transaxillary Thyroidectomy,What increases the risk of superior laryngeal nerve injury during upper pole dissection in gasless transaxillary thyroidectomy?,The risk of injury to the superior laryngeal nerve is higher if the dissection of the upper pole is performed above the point where the superior thyroid artery and vein merge.
Transoral Thyroidectomy,Which endoscope is recommended for transoral thyroidectomy?,The most appropriate endoscope for this procedure is 30 degrees.
Transoral Thyroidectomy,What are the inclusion criteria for transoral thyroidectomy?,"The surgery is indicated for patients with an ultrasound-estimated thyroid gland diameter of 10 cm or less, a volume of 45 mL or less, and nodules measuring less than 5 cm. Suitable cases include benign conditions such as thyroid cysts, uni- or multinodular goiters, follicular neoplasms, or papillary microcarcinomas without evidence of metastasis."
Transoral Thyroidectomy,How is the patient positioned and prepared for intraoperative nerve monitoring in transoral thyroidectomy?,The patient is placed in the supine position and intubated with an electromyogram (EMG) endotracheal tube to allow for intraoperative nerve monitoring.
Transoral Thyroidectomy,What solution is used for irrigating the oral cavity in transoral thyroidectomy?,The oral cavity should be irrigated with a solution of chlorhexidine and povidone-iodine.
Transoral Thyroidectomy,What trocar size and insufflation pressure are used after creating an adequate flap in transoral thyroidectomy?,"An 8-mm trocar is used, and carbon dioxide (CO2) insufflation is maintained through the midline port at a maximum pressure of 5-7 mm Hg."
Transoral Thyroidectomy,What are the six surgical steps of the transoral thyroidectomy?,"The procedure consists of the following steps: Step 1 involves a midline incision and division of the isthmus. Step 2 is the dissection of the superior pole. In Step 3, the recurrent laryngeal nerve and the parathyroid glands are carefully preserved. Step 4 includes the completion of the right lobectomy, central neck dissection, and specimen removal. Step 5 is the left lobectomy, and finally, Step 6 involves closure of the midline incision."
Transoral Thyroidectomy,What are the potential intraoperative causes of recurrent laryngeal nerve (RLN) injury in transoral thyroidectomy?,"Recurrent laryngeal nerve injury can result from several intraoperative factors, including nerve stretching, thermal lateral spread from energy devices, clamping, ligature, transection, or compression by a constrictive band of connective tissue."
Transoral Thyroidectomy,What are the steps to preserve the recurrent laryngeal nerve (RLN) in transoral robotic thyroidectomy (TORT)?,"Preserving the RLN in TORT involves first identifying the upper parathyroid gland laterally and then locating the RLN medially by dissecting Berry's ligament. IONM is used to confirm motor function if a sensory branch is encountered. If no signal is detected, the motor branch should be searched more medially. The RLN is then dissected off its medial attachment and gently retracted with a cotton swab."
Nipple-Sparing Mastectomy,What robotic instruments are commonly used in nipple-sparing mastectomy?,"The most used robotic instruments include a 0 degrees or 30 degrees scope, monopolar curved scissors or a cautery spatula/sealer for monopolar cautery, and ProGrasp or Cadiere forceps as graspers. For bipolar cautery, fenestrated or Maryland bipolar forceps are typically used."
Nipple-Sparing Mastectomy,What laparoscopic instruments are mainly used in nipple-sparing mastectomy?,"In this context, the commonly used robotic instruments include needle drivers for suturing, graspers for tissue manipulation, and suction-irrigation devices to maintain a clear surgical field."
Nipple-Sparing Mastectomy,Which arteries supply the lateral hemi-circumference of the nipple–areola complex?,The lateral and medial vascular pedicles involved in the blood supply to the lateral hemi circumference of the nipple-areola complex are superficial branches derived from the lateral thoracic artery and the internal mammary artery.
Nipple-Sparing Mastectomy,Is nipple-sparing mastectomy using robotic devices approved by the FDA?,"No, the FDA issued a statement indicating that the safety and effectiveness of robotic devices for mastectomy have not been established or approved."
Nipple-Sparing Mastectomy,How does positioning the patient's arms in towel slings before a bilateral mastectomy benefit the procedure?,"Positioning the patient's arms in towel slings on both sides before starting the bilateral mastectomy helps streamline the transition between sides, saves operative time, and helps maintain the sterility of the surgical field."
Nipple-Sparing Mastectomy,What precaution is needed to avoid nerve injury when repositioning a patient on the operating table edges during nipple-sparing mastectomy?,The precaution that should be taken is not to stretch the brachial plexus while changing the patient's position on the edges of the operating table to avoid nerve injury.
Nipple-Sparing Mastectomy,"What is the recommended CO₂ insufflation pressure after assembling the surgical access port in nipple-sparing mastectomy, and what pitfalls might arise from using higher pressures?","After inserting and assembling the surgical access port, CO2 should be insufflated at 8 mm Hg to create the working space. Higher pressures can cause subcutaneous emphysema, which resolves on its own but may be uncomfortable."
Nipple-Sparing Mastectomy,What are the primary implant placement options for different reconstructions in Nipple-Sparing Mastectomy?,"Prepectoral placement is most common and done manually through the lateral incision. For retropectoral placement, the pectoralis major is lifted with a retractor to create a submuscular pocket, as gas pressure alone is insufficient."
Extended Thymectomy for Myasthenia Gravis and Thymoma,Why is the left-sided approach considered more rational for thymectomy?,"Because of the thymus anatomy and its variations - the left lobe is almost always larger and often extends laterally beyond the left phrenic nerve, making the left-sided approach more effective for complete resection."
Extended Thymectomy for Myasthenia Gravis and Thymoma,Where are trocars typically placed for a left-sided thymectomy approach?,They are usually placed between the 3rd and 5th intercostal spaces along the submammary fold.
Extended Thymectomy for Myasthenia Gravis and Thymoma,Why is the submammary fold preferred for trocar placement in thymectomy?,It allows for appropriate anatomical access and provides a more cosmetic incision.
Extended Thymectomy for Myasthenia Gravis and Thymoma,What technique aids initial trocar insertion in thymectomy for patients with high BMI or during reoperation?,Direct dissection with scissors can be helpful in creating space for the first trocar in cases of narrow or adhesive pleural cavities.
Extended Thymectomy for Myasthenia Gravis and Thymoma,What techniques may assist in dissecting or extracting a large thymoma?,"An additional 5-mm trocar may be inserted for easier dissection, or a subxiphoid incision can be made to extract the specimen."
Extended Thymectomy for Myasthenia Gravis and Thymoma,Why should the contralateral right pleural cavity remain intact during CO2 insufflation in thymectomy?,To avoid loss of pneumothorax pressure and maintain proper exposure; opening the right pleural space is only necessary at the end for harvesting the right cardiophrenic fat pad.
Extended Thymectomy for Myasthenia Gravis and Thymoma,What is the safe CO2 insufflation pressure range for thymectomy in most patients?,CO2 insufflation at a pressure range of 8-10 mm Hg is generally considered safe for the majority of patients undergoing robotic-assisted thymectomy. This pressure allows for adequate expansion of the operative field without causing significant hemodynamic compromise in normovolemic individuals with preserved cardiac function.
